"GEOID","County","State","RE","Sex","Category","Measure","Value","Source"
"29001","Adair County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",432.7516,"US Cancer Statistics, 2018 - 2022"
"29003","Andrew County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",451.2255,"US Cancer Statistics, 2018 - 2022"
"29005","Atchison County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",417.4588,"US Cancer Statistics, 2018 - 2022"
"29007","Audrain County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",459.7916,"US Cancer Statistics, 2018 - 2022"
"29009","Barry County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",445.6441,"US Cancer Statistics, 2018 - 2022"
"29011","Barton County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",471.1515,"US Cancer Statistics, 2018 - 2022"
"29013","Bates County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",460.2484,"US Cancer Statistics, 2018 - 2022"
"29015","Benton County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",470.6467,"US Cancer Statistics, 2018 - 2022"
"29017","Bollinger County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",517.8592,"US Cancer Statistics, 2018 - 2022"
"29019","Boone County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",474.853,"US Cancer Statistics, 2018 - 2022"
"29021","Buchanan County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",512.0747,"US Cancer Statistics, 2018 - 2022"
"29023","Butler County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",497.2154,"US Cancer Statistics, 2018 - 2022"
"29025","Caldwell County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",457.7276,"US Cancer Statistics, 2018 - 2022"
"29027","Callaway County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",466.6669,"US Cancer Statistics, 2018 - 2022"
"29029","Camden County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",449.6105,"US Cancer Statistics, 2018 - 2022"
"29031","Cape Girardeau County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",468.5422,"US Cancer Statistics, 2018 - 2022"
"29033","Carroll County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",448.0953,"US Cancer Statistics, 2018 - 2022"
"29035","Carter County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",584.1552,"US Cancer Statistics, 2018 - 2022"
"29037","Cass County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",468.0896,"US Cancer Statistics, 2018 - 2022"
"29039","Cedar County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",452.7197,"US Cancer Statistics, 2018 - 2022"
"29041","Chariton County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",482.4495,"US Cancer Statistics, 2018 - 2022"
"29043","Christian County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",438.6603,"US Cancer Statistics, 2018 - 2022"
"29045","Clark County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",500.9906,"US Cancer Statistics, 2018 - 2022"
"29047","Clay County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",474.4968,"US Cancer Statistics, 2018 - 2022"
"29049","Clinton County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",441.9824,"US Cancer Statistics, 2018 - 2022"
"29051","Cole County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",465.2294,"US Cancer Statistics, 2018 - 2022"
"29053","Cooper County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",504.1666,"US Cancer Statistics, 2018 - 2022"
"29055","Crawford County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",496.292,"US Cancer Statistics, 2018 - 2022"
"29057","Dade County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",405.6672,"US Cancer Statistics, 2018 - 2022"
"29059","Dallas County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",454.4945,"US Cancer Statistics, 2018 - 2022"
"29061","Daviess County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",433.8985,"US Cancer Statistics, 2018 - 2022"
"29063","DeKalb County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",375.5401,"US Cancer Statistics, 2018 - 2022"
"29065","Dent County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",477.5799,"US Cancer Statistics, 2018 - 2022"
"29067","Douglas County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",406.3461,"US Cancer Statistics, 2018 - 2022"
"29069","Dunklin County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",534.9669,"US Cancer Statistics, 2018 - 2022"
"29071","Franklin County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",517.4317,"US Cancer Statistics, 2018 - 2022"
"29073","Gasconade County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",464.4004,"US Cancer Statistics, 2018 - 2022"
"29075","Gentry County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",516.8453,"US Cancer Statistics, 2018 - 2022"
"29077","Greene County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",459.1555,"US Cancer Statistics, 2018 - 2022"
"29079","Grundy County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",489.3284,"US Cancer Statistics, 2018 - 2022"
"29081","Harrison County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",468.6693,"US Cancer Statistics, 2018 - 2022"
"29083","Henry County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",505.949,"US Cancer Statistics, 2018 - 2022"
"29085","Hickory County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",419.6516,"US Cancer Statistics, 2018 - 2022"
"29087","Holt County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",517.6659,"US Cancer Statistics, 2018 - 2022"
"29089","Howard County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",460.6865,"US Cancer Statistics, 2018 - 2022"
"29091","Howell County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",465.3884,"US Cancer Statistics, 2018 - 2022"
"29093","Iron County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",551.8832,"US Cancer Statistics, 2018 - 2022"
"29095","Jackson County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",453.965,"US Cancer Statistics, 2018 - 2022"
"29097","Jasper County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",526.7278,"US Cancer Statistics, 2018 - 2022"
"29099","Jefferson County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",485.5179,"US Cancer Statistics, 2018 - 2022"
"29101","Johnson County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",477.6966,"US Cancer Statistics, 2018 - 2022"
"29103","Knox County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",491.6694,"US Cancer Statistics, 2018 - 2022"
"29105","Laclede County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",432.2423,"US Cancer Statistics, 2018 - 2022"
"29107","Lafayette County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",466.5916,"US Cancer Statistics, 2018 - 2022"
"29109","Lawrence County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",421.8611,"US Cancer Statistics, 2018 - 2022"
"29111","Lewis County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",537.261,"US Cancer Statistics, 2018 - 2022"
"29113","Lincoln County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",489.3134,"US Cancer Statistics, 2018 - 2022"
"29115","Linn County","Missouri","All Races","All Sexes","Cancer Incidence (age-adj per 100k)","All Cancer Site",501.5306,"US Cancer Statistics, 2018 - 2022"
