,GEOID,County,State,RE,Sex,Category,Measure,Incidence,Source
0,29001,Adair,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,432.7516,"US Cancer Statistics, 2018 - 2022"
1,29003,Andrew,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,451.2255,"US Cancer Statistics, 2018 - 2022"
2,29005,Atchison,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,417.4588,"US Cancer Statistics, 2018 - 2022"
3,29007,Audrain,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,459.7916,"US Cancer Statistics, 2018 - 2022"
4,29009,Barry,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,445.6441,"US Cancer Statistics, 2018 - 2022"
5,29011,Barton,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,471.1515,"US Cancer Statistics, 2018 - 2022"
6,29013,Bates,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,460.2484,"US Cancer Statistics, 2018 - 2022"
7,29015,Benton,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,470.6467,"US Cancer Statistics, 2018 - 2022"
8,29017,Bollinger,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,517.8592,"US Cancer Statistics, 2018 - 2022"
9,29019,Boone,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,474.853,"US Cancer Statistics, 2018 - 2022"
10,29021,Buchanan,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,512.0747,"US Cancer Statistics, 2018 - 2022"
11,29023,Butler,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,497.2154,"US Cancer Statistics, 2018 - 2022"
12,29025,Caldwell,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,457.7276,"US Cancer Statistics, 2018 - 2022"
13,29027,Callaway,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,466.6669,"US Cancer Statistics, 2018 - 2022"
14,29029,Camden,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,449.6105,"US Cancer Statistics, 2018 - 2022"
15,29031,Cape Girardeau,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,468.5422,"US Cancer Statistics, 2018 - 2022"
16,29033,Carroll,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,448.0953,"US Cancer Statistics, 2018 - 2022"
17,29035,Carter,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,584.1552,"US Cancer Statistics, 2018 - 2022"
18,29037,Cass,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,468.0896,"US Cancer Statistics, 2018 - 2022"
19,29039,Cedar,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,452.7197,"US Cancer Statistics, 2018 - 2022"
20,29041,Chariton,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,482.4495,"US Cancer Statistics, 2018 - 2022"
21,29043,Christian,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,438.6603,"US Cancer Statistics, 2018 - 2022"
22,29045,Clark,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,500.9906,"US Cancer Statistics, 2018 - 2022"
23,29047,Clay,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,474.4968,"US Cancer Statistics, 2018 - 2022"
24,29049,Clinton,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,441.9824,"US Cancer Statistics, 2018 - 2022"
25,29051,Cole,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,465.2294,"US Cancer Statistics, 2018 - 2022"
26,29053,Cooper,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,504.1666,"US Cancer Statistics, 2018 - 2022"
27,29055,Crawford,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,496.292,"US Cancer Statistics, 2018 - 2022"
28,29057,Dade,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,405.6672,"US Cancer Statistics, 2018 - 2022"
29,29059,Dallas,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,454.4945,"US Cancer Statistics, 2018 - 2022"
30,29061,Daviess,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,433.8985,"US Cancer Statistics, 2018 - 2022"
31,29063,Dekalb,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,375.5401,"US Cancer Statistics, 2018 - 2022"
32,29065,Dent,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,477.5799,"US Cancer Statistics, 2018 - 2022"
33,29067,Douglas,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,406.3461,"US Cancer Statistics, 2018 - 2022"
34,29069,Dunklin,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,534.9669,"US Cancer Statistics, 2018 - 2022"
35,29071,Franklin,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,517.4317,"US Cancer Statistics, 2018 - 2022"
36,29073,Gasconade,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,464.4004,"US Cancer Statistics, 2018 - 2022"
37,29075,Gentry,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,516.8453,"US Cancer Statistics, 2018 - 2022"
38,29077,Greene,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,459.1555,"US Cancer Statistics, 2018 - 2022"
39,29079,Grundy,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,489.3284,"US Cancer Statistics, 2018 - 2022"
40,29081,Harrison,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,468.6693,"US Cancer Statistics, 2018 - 2022"
41,29083,Henry,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,505.949,"US Cancer Statistics, 2018 - 2022"
42,29085,Hickory,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,419.6516,"US Cancer Statistics, 2018 - 2022"
43,29087,Holt,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,517.6659,"US Cancer Statistics, 2018 - 2022"
44,29089,Howard,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,460.6865,"US Cancer Statistics, 2018 - 2022"
45,29091,Howell,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,465.3884,"US Cancer Statistics, 2018 - 2022"
46,29093,Iron,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,551.8832,"US Cancer Statistics, 2018 - 2022"
47,29095,Jackson,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,453.965,"US Cancer Statistics, 2018 - 2022"
48,29097,Jasper,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,526.7278,"US Cancer Statistics, 2018 - 2022"
49,29099,Jefferson,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,485.5179,"US Cancer Statistics, 2018 - 2022"
50,29101,Johnson,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,477.6966,"US Cancer Statistics, 2018 - 2022"
51,29103,Knox,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,491.6694,"US Cancer Statistics, 2018 - 2022"
52,29105,Laclede,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,432.2423,"US Cancer Statistics, 2018 - 2022"
53,29107,Lafayette,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,466.5916,"US Cancer Statistics, 2018 - 2022"
54,29109,Lawrence,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,421.8611,"US Cancer Statistics, 2018 - 2022"
55,29111,Lewis,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,537.261,"US Cancer Statistics, 2018 - 2022"
56,29113,Lincoln,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,489.3134,"US Cancer Statistics, 2018 - 2022"
57,29115,Linn,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,501.5306,"US Cancer Statistics, 2018 - 2022"
58,29117,Livingston,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,486.4403,"US Cancer Statistics, 2018 - 2022"
59,29119,McDonald,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,435.6341,"US Cancer Statistics, 2018 - 2022"
60,29121,Macon,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,478.7044,"US Cancer Statistics, 2018 - 2022"
61,29123,Madison,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,551.5263,"US Cancer Statistics, 2018 - 2022"
62,29125,Maries,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,383.1448,"US Cancer Statistics, 2018 - 2022"
63,29127,Marion,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,548.8965,"US Cancer Statistics, 2018 - 2022"
64,29129,Mercer,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,435.1495,"US Cancer Statistics, 2018 - 2022"
65,29131,Miller,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,455.0997,"US Cancer Statistics, 2018 - 2022"
66,29133,Mississippi,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,531.7563,"US Cancer Statistics, 2018 - 2022"
67,29135,Moniteau,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,469.7678,"US Cancer Statistics, 2018 - 2022"
68,29137,Monroe,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,503.5686,"US Cancer Statistics, 2018 - 2022"
69,29139,Montgomery,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,522.8064,"US Cancer Statistics, 2018 - 2022"
70,29141,Morgan,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,484.0078,"US Cancer Statistics, 2018 - 2022"
71,29143,New Madrid,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,478.0059,"US Cancer Statistics, 2018 - 2022"
72,29145,Newton,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,415.4264,"US Cancer Statistics, 2018 - 2022"
73,29147,Nodaway,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,424.9134,"US Cancer Statistics, 2018 - 2022"
74,29149,Oregon,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,546.8427,"US Cancer Statistics, 2018 - 2022"
75,29151,Osage,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,492.395,"US Cancer Statistics, 2018 - 2022"
76,29153,Ozark,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,470.918,"US Cancer Statistics, 2018 - 2022"
77,29155,Pemiscot,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,419.3696,"US Cancer Statistics, 2018 - 2022"
78,29157,Perry,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,482.7347,"US Cancer Statistics, 2018 - 2022"
79,29159,Pettis,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,480.1369,"US Cancer Statistics, 2018 - 2022"
80,29161,Phelps,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,474.207,"US Cancer Statistics, 2018 - 2022"
81,29163,Pike,Missouri,All Races,All Sexes,Cancer Incidence (age-adj per 100k),All Cancer Site,528.9875,"US Cancer Statistics, 2018 - 2022"
